Age,Gender,Education Level,Job Title,Years of Experience,Salary
26,Male,Master's,Data Engineer,2.1,61200
50,Male,Baccalauréat,Juriste,12.9,44300
36,Female,Baccalauréat,Développeur Software,13.2,33200
57,Female,Bachelor's,Chargé RH,10.5,27200
33,Male,Bachelor's,Enseignant,9.2,23900
46,Female,Master's,Data Engineer,18.1,50200
23,Female,Master's,Développeur Software,0.0,35900
45,Male,Bachelor's,Infirmier,21.6,37300
35,Male,Bachelor's,Chargé de Communication,12.7,32600
30,Male,Bachelor's,Technicien de Maintenance,9.0,31400
31,Female,Bachelor's,Account Manager,7.2,37300
41,Female,Bachelor's,Responsable RH,11.9,32500
48,Female,Bachelor's,Chargé de Communication,16.6,24100
45,Male,Bachelor's,Business Developer,16.4,39300
49,Female,CAP/BEP,Office Manager,27.6,28400
40,Male,PhD,Consultant IT,9.4,65500
34,Female,Master's,Analyste Financier,11.0,57900
57,Male,Master's,Data Analyst,18.4,47600
23,Female,Master's,Responsable RH,0.0,27700
27,Female,PhD,Chercheur,0.0,30800
40,Male,PhD,Chargé de Communication,6.2,35900
38,Female,Baccalauréat,Chargé RH,14.6,21000
27,Female,PhD,ML Engineer,0.0,34500
51,Male,Master's,Data Engineer,20.9,73300
28,Male,Master's,Comptable,3.3,38000
47,Male,Bachelor's,Responsable Commercial,8.7,56600
33,Female,Master's,Ingénieur Systèmes,10.0,30700
27,Female,PhD,Assistant Administratif,0.0,22800
28,Male,Bachelor's,ML Engineer,5.8,47200
33,Male,Baccalauréat,Commercial,8.2,20100
37,Female,Master's,Responsable RH,10.2,35700
36,Female,PhD,Pharmacien,6.0,35700
59,Male,Master's,Développeur Software,23.5,83200
43,Male,Bachelor's,Data Scientist,17.3,45100
30,Male,Bachelor's,Assistant Administratif,4.7,19900
53,Female,PhD,Data Engineer,23.8,54900
34,Male,Master's,Analyste Financier,11.0,45000
25,Male,Master's,Juriste,1.7,37700
30,Female,Bachelor's,Développeur Software,5.4,30000
35,Female,PhD,Chargé RH,4.2,30200
42,Female,Bachelor's,Architecte Cloud,16.1,38900
31,Male,Baccalauréat,Business Developer,4.2,26000
27,Male,Master's,Trader,3.1,57800
47,Male,Bachelor's,Ingénieur Systèmes,15.4,60300
23,Female,Master's,Directeur Financier,0.0,62600
38,Female,Baccalauréat,Technicien de Maintenance,13.7,20900
35,Female,Bachelor's,Responsable Marketing,9.1,38100
48,Male,PhD,Responsable RH,13.2,43700
23,Female,Master's,DevOps Engineer,0.0,41900
24,Male,Master's,Enseignant,1.0,30300
33,Male,PhD,Analyste Financier,4.9,61600
42,Male,Master's,Data Scientist,15.1,80000
46,Female,Bachelor's,ML Engineer,23.4,63400
23,Male,Master's,Chef de Projet IT,0.0,49500
54,Female,CAP/BEP,Trader,30.6,51800
52,Female,Bachelor's,Comptable,18.8,30900
60,Male,PhD,Data Engineer,27.6,77500
28,Female,CAP/BEP,Responsable Marketing,3.6,22500
24,Male,Master's,Ingénieur Systèmes,0.6,38900
35,Female,Master's,Contrôleur de Gestion,10.5,36400
30,Female,Baccalauréat,Logisticien,8.2,33700
39,Male,Master's,Data Analyst,11.0,72500
50,Male,Master's,Data Analyst,3.6,45600
25,Female,Bachelor's,ML Engineer,2.2,33500
37,Male,Master's,Développeur Software,10.2,52800
33,Female,Bachelor's,Data Scientist,9.9,37400
40,Male,Master's,Chef de Projet IT,13.2,47400
40,Male,PhD,Consultant IT,5.8,41600
44,Male,Bachelor's,Chargé RH,9.4,20300
33,Female,PhD,Consultant IT,4.8,55700
57,Male,Master's,Responsable Marketing,29.5,68000
33,Male,Bachelor's,Conducteur de Projet,6.6,24600
33,Male,Bachelor's,Comptable,10.0,33300
23,Male,Master's,Directeur Financier,0.0,65700
24,Male,Bachelor's,Trader,1.6,45300
42,Female,Bachelor's,Comptable,16.0,30800
23,Female,Master's,Data Analyst,0.0,32200
44,Female,Bachelor's,Commercial,13.7,24200
26,Female,Master's,Directeur Financier,2.0,69100
45,Male,Bachelor's,Chargé de Communication,19.7,25600
45,Male,Master's,Conducteur de Projet,16.5,40700
37,Female,PhD,Chercheur,8.7,36400
25,Male,CAP/BEP,Chargé de Communication,5.8,21300
36,Female,Master's,Ingénieur Systèmes,8.1,38100
27,Male,PhD,Consultant Finance,0.0,55400
33,Male,Bachelor's,Technicien de Maintenance,12.0,33500
22,Female,Bachelor's,Conducteur de Projet,0.0,22100
28,Male,Master's,Responsable RH,2.8,26400
36,Female,Baccalauréat,Commercial,9.7,24100
39,Female,Bachelor's,Consultant Finance,14.9,34500
42,Male,Bachelor's,Développeur Software,12.2,53800
33,Male,Baccalauréat,Commercial,12.9,49200
34,Male,CAP/BEP,Comptable,13.6,27300
36,Male,Bachelor's,Commercial,8.2,35100
44,Male,Baccalauréat,Contrôleur de Gestion,12.7,41000
33,Female,Bachelor's,Office Manager,11.4,20400
46,Female,PhD,Pharmacien,15.4,58600
50,Male,Bachelor's,Commercial,25.0,37100
41,Male,Baccalauréat,Account Manager,18.6,41200
43,Female,Bachelor's,Juriste,22.0,46400
48,Female,PhD,Analyste Financier,8.5,45900
39,Male,Master's,Consultant IT,9.1,49800
41,Male,PhD,Pharmacien,8.5,68300
24,Male,Bachelor's,Commercial,0.7,30600
48,Male,Baccalauréat,Chef de Projet IT,30.0,62900
24,Female,Bachelor's,Assistant Administratif,1.7,22300
38,Male,Bachelor's,Chef de Projet IT,11.4,47500
41,Female,Baccalauréat,Logisticien,18.9,27600
49,Male,Bachelor's,Consultant Finance,23.2,59500
39,Male,Master's,Développeur Software,9.1,42800
36,Male,CAP/BEP,Assistant Administratif,10.2,17764
29,Male,Master's,Commercial,4.3,54500
30,Male,Master's,Responsable Commercial,5.1,42900
32,Male,Bachelor's,Comptable,9.3,30700
54,Female,Baccalauréat,Responsable Commercial,28.8,61900
49,Male,Master's,Ingénieur Systèmes,19.9,71700
28,Female,CAP/BEP,Account Manager,6.0,25300
38,Male,Bachelor's,Comptable,12.7,29300
47,Female,Bachelor's,Data Scientist,18.1,45500
40,Male,Master's,Ingénieur Systèmes,16.2,59900
27,Female,PhD,Pharmacien,0.0,49900
42,Male,Baccalauréat,Account Manager,18.7,41800
36,Male,Bachelor's,Contrôleur de Gestion,14.3,53800
26,Female,Master's,Développeur Software,2.9,25200
21,Female,Bachelor's,Data Analyst,0.0,18200
34,Male,Master's,Consultant Finance,7.1,70600
41,Female,Master's,Office Manager,18.0,35500
44,Male,Baccalauréat,Architecte Cloud,19.0,53900
32,Male,Bachelor's,Technicien de Maintenance,7.9,30900
56,Male,Bachelor's,Assistant Administratif,24.1,28800
40,Male,Master's,Commercial,9.8,36900
39,Male,Master's,Commercial,12.8,49400
39,Female,CAP/BEP,Comptable,17.2,25100
40,Female,Bachelor's,Chargé RH,10.5,30300
43,Male,Master's,Responsable Marketing,16.0,64400
35,Female,Bachelor's,Chargé de Communication,14.0,26300
26,Female,Master's,Data Scientist,1.1,30000
52,Female,Master's,Chef de Projet IT,27.3,38400
33,Male,PhD,Médecin,4.3,53900
50,Female,Bachelor's,Comptable,24.5,32300
36,Male,Bachelor's,Chercheur,12.6,26700
39,Male,Master's,Consultant IT,16.0,86900
36,Female,Master's,Consultant IT,8.9,44800
23,Female,Bachelor's,Responsable Commercial,1.7,45900
42,Female,CAP/BEP,Comptable,18.0,23700
25,Female,Bachelor's,Chef de Projet IT,4.0,32900
45,Male,Master's,Chef de Projet IT,13.1,50700
27,Female,Master's,Consultant Finance,3.2,42100
49,Female,CAP/BEP,Data Engineer,31.0,36900
30,Male,Master's,Directeur Financier,7.0,104200
40,Female,Baccalauréat,Conducteur de Projet,13.3,26300
32,Male,PhD,Data Analyst,2.5,36100
32,Female,Baccalauréat,Contrôleur de Gestion,12.2,36600
49,Female,Master's,Analyste Financier,11.8,60800
38,Female,Bachelor's,Account Manager,9.7,34900
36,Female,Master's,Développeur Software,6.8,47000
33,Male,PhD,Responsable Marketing,2.5,56200
39,Male,Master's,Analyste Financier,10.4,63400
28,Male,Baccalauréat,Responsable Commercial,5.2,27500
41,Female,Bachelor's,Chargé RH,20.0,31300
34,Female,Baccalauréat,Infirmier,15.6,25900
36,Male,Master's,Responsable Marketing,7.2,38500
35,Female,Bachelor's,Logisticien,10.7,24700
38,Male,Master's,Trader,6.5,63200
42,Male,CAP/BEP,Data Analyst,17.6,31100
27,Female,Baccalauréat,Assistant Administratif,7.7,17764
31,Female,Master's,Data Analyst,5.6,35100
32,Female,Baccalauréat,Conducteur de Projet,9.1,25600
24,Female,Master's,Conducteur de Projet,1.0,18600
27,Male,PhD,ML Engineer,0.0,65700
37,Male,Bachelor's,Account Manager,10.9,35600
37,Male,Bachelor's,Analyste Financier,13.6,36300
27,Male,CAP/BEP,Infirmier,6.4,21700
51,Female,Master's,Responsable RH,18.9,57400
37,Female,Baccalauréat,Assistant Administratif,17.5,26800
38,Male,Master's,Juriste,8.3,53400
40,Male,CAP/BEP,Commercial,13.6,19500
28,Male,Master's,Responsable RH,4.2,43300
43,Male,Baccalauréat,Business Developer,25.0,39300
42,Male,Master's,Consultant Finance,19.0,102100
30,Male,Master's,Account Manager,5.6,31400
36,Female,Bachelor's,Assistant Administratif,9.9,17800
45,Male,Master's,Chargé de Communication,11.9,41200
39,Female,Bachelor's,Business Developer,7.8,29500
38,Female,Master's,Responsable Commercial,5.9,52200
43,Female,Master's,Directeur Financier,6.7,76900
35,Male,Baccalauréat,Business Developer,12.2,31500
53,Female,Bachelor's,Responsable Marketing,25.8,38400
24,Male,Master's,Responsable Marketing,0.2,43600
53,Female,Bachelor's,Conducteur de Projet,20.2,27600
48,Male,Bachelor's,Chargé RH,16.0,32200
51,Female,Baccalauréat,Juriste,33.0,66700
37,Male,Bachelor's,Responsable Marketing,16.0,42200
38,Male,Master's,Responsable Marketing,15.0,46400
42,Female,CAP/BEP,Assistant Administratif,10.1,17764
35,Female,Master's,Juriste,6.1,46800
25,Male,Bachelor's,Directeur Financier,1.8,58200
33,Female,PhD,Consultant IT,2.2,40900
27,Male,Master's,Responsable Marketing,2.8,43400
32,Female,Bachelor's,Assistant Administratif,9.1,23400
29,Male,Master's,Commercial,3.1,31900
51,Male,Master's,Consultant IT,18.5,58500
38,Male,PhD,Data Analyst,5.2,49900
38,Female,Master's,Data Scientist,12.5,48800
28,Female,Master's,Architecte Cloud,4.2,55100
31,Female,Master's,Trader,4.3,78000
35,Female,PhD,Data Engineer,6.0,40100
41,Male,Bachelor's,Assistant Administratif,18.4,42200
50,Male,Baccalauréat,Analyste Financier,23.4,44000
39,Male,Master's,Développeur Software,16.0,50700
37,Female,PhD,Assistant Administratif,5.6,29100
34,Female,Master's,Data Engineer,10.7,33600
48,Male,Master's,Responsable Marketing,21.0,60900
32,Female,Master's,Développeur Software,8.5,38000
33,Female,Baccalauréat,Conducteur de Projet,9.1,22100
38,Female,Bachelor's,Assistant Administratif,17.0,27100
27,Male,Bachelor's,Commercial,4.0,39100
39,Male,PhD,Responsable Commercial,7.7,64900
35,Female,Master's,Analyste Financier,3.5,26300
29,Female,PhD,Contrôleur de Gestion,1.2,33900
44,Female,Master's,Ingénieur Systèmes,20.9,63300
29,Female,PhD,Office Manager,1.6,35500
34,Female,Bachelor's,Data Analyst,10.9,36200
28,Male,Bachelor's,Commercial,4.0,32500
44,Female,Master's,Technicien de Maintenance,18.2,33900
36,Male,Bachelor's,Commercial,7.6,32500
36,Male,PhD,Chargé RH,4.6,36400
42,Female,PhD,Consultant IT,9.9,59900
41,Female,PhD,Consultant IT,8.1,46500
45,Male,Master's,Data Scientist,8.0,65400
41,Female,PhD,Data Analyst,12.8,42100
38,Male,Baccalauréat,Responsable Marketing,19.5,46600
40,Female,Bachelor's,Data Engineer,16.4,48100
32,Female,Master's,Contrôleur de Gestion,2.9,44700
48,Female,Bachelor's,Assistant Administratif,27.0,28700
57,Female,Master's,Data Engineer,23.2,82400
37,Male,Master's,Contrôleur de Gestion,9.5,44400
25,Female,Master's,ML Engineer,1.4,34600
47,Female,CAP/BEP,Contrôleur de Gestion,17.2,22200
39,Male,Bachelor's,Technicien de Maintenance,10.0,24700
34,Male,PhD,Pharmacien,4.0,29700
23,Female,Master's,Enseignant,0.0,21700
30,Male,Baccalauréat,Commercial,2.8,22000
35,Female,CAP/BEP,Account Manager,9.8,34000
39,Female,Master's,Responsable RH,14.2,39500
27,Male,Baccalauréat,Enseignant,6.7,17764
21,Female,Bachelor's,Office Manager,0.0,26700
27,Male,Bachelor's,Commercial,5.5,29000
27,Female,PhD,Responsable Marketing,0.0,42600
28,Male,Master's,Responsable Commercial,3.1,41000
25,Male,Master's,Data Scientist,2.0,33200
26,Female,Bachelor's,Commercial,2.9,33300
38,Female,Master's,ML Engineer,9.2,46100
35,Male,Master's,Data Scientist,12.0,58900
24,Male,Master's,Enseignant,0.0,20100
43,Male,Bachelor's,Comptable,18.3,27700
26,Female,Baccalauréat,Développeur Software,4.2,18200
56,Male,Baccalauréat,Comptable,19.7,35100
33,Male,Bachelor's,Comptable,5.3,44000
40,Female,PhD,Chef de Projet IT,10.7,47500
36,Female,Master's,Responsable Marketing,6.0,46700
29,Female,Master's,Directeur Financier,3.5,61300
48,Female,Master's,Contrôleur de Gestion,16.1,54500
36,Female,Bachelor's,Développeur Software,14.5,37300
55,Female,Master's,Contrôleur de Gestion,21.3,46200
32,Male,Master's,Consultant IT,8.2,49800
42,Male,Master's,Data Scientist,16.7,78400
41,Male,Bachelor's,Commercial,19.1,31800
36,Male,Bachelor's,Chargé RH,9.0,19700
43,Male,Master's,Data Analyst,18.5,48900
45,Female,Bachelor's,Consultant IT,14.0,49900
43,Female,Master's,DevOps Engineer,8.9,35900
38,Male,Bachelor's,Juriste,16.0,71400
45,Female,Master's,Data Analyst,11.1,42800
31,Male,Bachelor's,Analyste Financier,9.2,39000
30,Male,Baccalauréat,Consultant Finance,11.6,40300
30,Male,Master's,Consultant IT,6.8,38400
40,Male,Bachelor's,Infirmier,14.5,31200
37,Male,CAP/BEP,Logisticien,19.0,35300
46,Female,Bachelor's,Data Scientist,24.8,44400
34,Male,Master's,Data Engineer,8.3,55000
33,Male,Bachelor's,Assistant Administratif,5.4,30400
34,Female,Baccalauréat,Infirmier,16.0,26800
41,Female,Master's,Trader,9.4,75200
39,Male,Bachelor's,Chargé RH,12.4,27200
44,Male,Master's,Data Engineer,12.7,41200
36,Male,Bachelor's,Data Scientist,2.1,67000
38,Female,Master's,Data Scientist,12.6,61400
35,Male,Bachelor's,Business Developer,10.7,40700
39,Female,Master's,Ingénieur Systèmes,11.7,52600
34,Male,Bachelor's,Assistant Administratif,8.8,23600
38,Female,Bachelor's,Account Manager,13.1,32500
41,Female,Bachelor's,Chef de Projet IT,10.0,31000
52,Male,Bachelor's,Chargé de Communication,15.4,36300
40,Male,Master's,Consultant IT,14.6,55600
27,Male,PhD,ML Engineer,0.0,47500
57,Male,Master's,Consultant IT,10.3,41600
34,Female,PhD,Data Analyst,5.9,38500
31,Female,Master's,Architecte Cloud,6.0,57000
54,Male,Baccalauréat,Business Developer,24.4,58100
37,Male,Master's,Développeur Software,14.0,41000
33,Male,PhD,DevOps Engineer,4.7,54100
31,Female,Baccalauréat,Commercial,4.9,19800
21,Female,Bachelor's,Chargé RH,0.0,20200
31,Female,Master's,Responsable RH,4.7,35000
34,Female,Baccalauréat,Chef de Projet IT,13.9,28800
30,Male,Bachelor's,Comptable,8.4,29400
24,Female,Bachelor's,Business Developer,2.2,22900
38,Male,Baccalauréat,Infirmier,17.5,32700
44,Male,Master's,Ingénieur Systèmes,20.6,65600
44,Male,Master's,Consultant IT,3.3,37000
44,Female,CAP/BEP,Chef de Projet IT,12.1,31000
45,Male,Master's,DevOps Engineer,18.6,77600
32,Female,PhD,Chargé de Communication,5.0,26000
42,Female,Master's,Analyste Financier,11.3,52000
34,Male,Master's,Consultant IT,8.5,34200
47,Male,Master's,Technicien de Maintenance,22.5,42400
45,Male,Master's,Account Manager,12.9,35700
47,Female,Master's,Logisticien,22.2,36200
44,Male,Baccalauréat,Chargé RH,23.6,32800
39,Female,Master's,Chef de Projet IT,16.0,50200
42,Female,PhD,Responsable Commercial,9.1,43100
27,Female,Master's,Médecin,2.0,72000
48,Female,Master's,Chef de Projet IT,19.4,54000
49,Male,Master's,Consultant IT,10.1,52100
33,Female,Master's,Data Analyst,3.4,30000
50,Female,PhD,Responsable RH,22.4,48300
29,Male,Baccalauréat,Account Manager,5.6,23700
51,Female,Baccalauréat,Logisticien,19.3,17764
37,Male,Baccalauréat,Chargé RH,7.6,28000
37,Male,Bachelor's,Logisticien,12.2,42700
45,Female,Bachelor's,Juriste,11.2,28000
36,Female,Master's,Architecte Cloud,10.2,73600
24,Male,CAP/BEP,Chargé RH,5.0,20400
30,Female,Baccalauréat,Infirmier,8.3,21200
53,Female,Master's,Architecte Cloud,30.0,89800
41,Male,Bachelor's,Data Engineer,16.9,43800
37,Female,Bachelor's,Architecte Cloud,9.0,66600
41,Female,PhD,Data Analyst,11.5,44200
45,Male,Master's,Développeur Software,20.1,53800
27,Male,PhD,Chercheur,0.0,40600
25,Female,Master's,Responsable Marketing,1.8,22600
33,Male,PhD,Juriste,2.0,42900
33,Female,Master's,Data Analyst,10.0,32300
42,Female,Baccalauréat,Développeur Software,11.8,35900
28,Male,Master's,Data Engineer,2.7,31600
31,Female,PhD,Responsable RH,3.8,38000
35,Female,Master's,Responsable RH,6.4,28500
39,Female,Bachelor's,Infirmier,13.6,38300
42,Male,Master's,Développeur Software,9.8,51900
35,Male,Baccalauréat,Développeur Software,13.8,35500
25,Male,Master's,Contrôleur de Gestion,1.2,43600
50,Female,Bachelor's,Comptable,6.0,20500
40,Female,Master's,Contrôleur de Gestion,15.7,48900
41,Male,Master's,Data Engineer,9.8,65100
35,Female,Master's,Développeur Software,8.5,37800
28,Male,Bachelor's,Comptable,6.3,31900
37,Male,Master's,Infirmier,13.8,37900
37,Male,PhD,Développeur Software,9.5,64200
45,Female,Bachelor's,Enseignant,5.4,20800
35,Female,Master's,Data Analyst,12.0,27700
32,Male,Master's,Chef de Projet IT,6.1,70000
36,Male,Bachelor's,Commercial,15.0,40400
42,Female,Baccalauréat,Analyste Financier,24.0,52900
47,Female,Bachelor's,Contrôleur de Gestion,26.0,42700
39,Female,Master's,Enseignant,12.6,33700
37,Female,Bachelor's,Comptable,7.2,20100
34,Female,Bachelor's,DevOps Engineer,5.3,28000
48,Female,Master's,Data Analyst,15.7,38300
39,Male,Baccalauréat,Commercial,17.7,26700
24,Female,Baccalauréat,Commercial,5.1,24600
40,Male,Baccalauréat,Business Developer,13.2,31600
35,Female,Baccalauréat,Architecte Cloud,14.1,45500
35,Female,PhD,DevOps Engineer,7.0,46300
48,Female,CAP/BEP,Comptable,16.2,18400
41,Male,Master's,Data Scientist,18.0,53600
50,Male,Master's,Data Scientist,23.2,81500
40,Female,Bachelor's,Comptable,18.0,42000
44,Female,Baccalauréat,Chargé RH,19.6,25600
43,Female,PhD,Développeur Software,14.6,46100
43,Male,Bachelor's,Commercial,15.1,51800
31,Female,Bachelor's,Commercial,6.1,19900
46,Male,Master's,Responsable Commercial,19.0,97800
38,Male,Master's,Infirmier,12.6,29100
39,Female,Baccalauréat,Comptable,18.7,24300
39,Female,Master's,Data Scientist,8.9,52500
36,Female,PhD,Développeur Software,6.9,48100
40,Female,CAP/BEP,Conducteur de Projet,19.8,35900
41,Female,Master's,Data Analyst,14.2,38200
36,Male,Bachelor's,Data Analyst,5.7,23600
28,Male,Master's,Responsable Marketing,2.8,33100
43,Male,CAP/BEP,Commercial,14.9,31900
20,Female,Baccalauréat,ML Engineer,1.4,29400
41,Male,Bachelor's,Comptable,10.0,25700
27,Female,Bachelor's,Assistant Administratif,1.3,27700
41,Female,Master's,Business Developer,5.3,26500
21,Female,Bachelor's,Office Manager,0.0,25800
52,Male,Bachelor's,Chargé RH,20.5,35300
26,Female,Bachelor's,Comptable,4.3,29400
32,Male,Master's,ML Engineer,4.8,58000
38,Male,PhD,Consultant IT,9.0,73700
48,Female,Baccalauréat,Responsable RH,22.9,39900
34,Male,Bachelor's,Chef de Projet IT,10.9,53500
19,Male,Baccalauréat,Account Manager,0.4,32200
32,Female,Master's,Data Analyst,5.0,19900
18,Female,Baccalauréat,Business Developer,0.0,27700
32,Male,Baccalauréat,Développeur Software,6.7,38400
23,Female,Master's,Contrôleur de Gestion,0.0,25100
40,Male,Master's,Data Analyst,8.9,38200
33,Female,Master's,Responsable Marketing,8.0,43300
32,Male,Master's,Comptable,6.2,36200
36,Female,Baccalauréat,Business Developer,12.7,32600
27,Female,Master's,Architecte Cloud,3.9,43300
45,Female,PhD,Consultant IT,18.0,45400
30,Female,Master's,Data Analyst,3.1,36800
40,Male,Bachelor's,Data Analyst,8.9,36500
56,Female,Bachelor's,Contrôleur de Gestion,22.3,52300
29,Male,Master's,Enseignant,6.0,28300
33,Male,Baccalauréat,Commercial,9.2,34800
23,Male,Master's,Data Engineer,0.0,48600
39,Female,Baccalauréat,Assistant Administratif,10.5,24900
40,Female,Master's,Commercial,17.0,36700
42,Male,CAP/BEP,Ingénieur Systèmes,20.0,34700
51,Male,PhD,Data Engineer,20.5,85900
22,Female,Bachelor's,Data Engineer,1.0,21300
34,Male,Baccalauréat,Data Analyst,16.0,28200
41,Male,Bachelor's,Comptable,16.3,25000
24,Female,Master's,Responsable Marketing,0.0,27500
30,Male,Master's,Chargé de Communication,1.6,30700
18,Male,Baccalauréat,Analyste Financier,0.0,33700
36,Male,Bachelor's,Comptable,8.5,33600
44,Male,CAP/BEP,Commercial,7.0,25700
33,Male,Master's,Consultant Finance,6.6,76800
27,Male,CAP/BEP,Commercial,5.7,17764
38,Female,Master's,Enseignant,5.6,26500
39,Female,Master's,Consultant Finance,16.0,78100
39,Female,Baccalauréat,Chargé de Communication,20.9,17764
37,Male,Master's,Chercheur,13.8,49100
51,Male,Baccalauréat,DevOps Engineer,18.7,62000
31,Female,Bachelor's,Technicien de Maintenance,9.1,22200
41,Male,Bachelor's,Commercial,9.3,31700
35,Female,Baccalauréat,Chargé RH,7.7,17764
27,Male,Master's,Data Scientist,3.2,53700
27,Male,PhD,Chercheur,0.0,35900
38,Male,Master's,Responsable Marketing,9.1,48000
42,Male,Master's,Consultant IT,12.6,51700
32,Male,Master's,Assistant Administratif,7.8,28600
27,Male,PhD,Ingénieur Systèmes,0.0,45600
43,Male,Master's,Développeur Software,17.5,48600
34,Male,Master's,Responsable RH,8.3,60800
42,Female,Master's,Développeur Software,12.3,33700
46,Female,Baccalauréat,Chargé RH,23.3,26800
50,Male,Master's,Développeur Software,12.7,64400
58,Male,Master's,Médecin,20.4,64300
46,Female,Master's,Comptable,19.3,29700
46,Male,Baccalauréat,Business Developer,22.9,52400
23,Male,Master's,Trader,0.0,54200
50,Male,Baccalauréat,Commercial,27.9,47600
35,Female,Master's,Data Analyst,3.1,27600
28,Female,Baccalauréat,Data Scientist,10.0,30900
52,Male,Master's,Commercial,29.0,39300
41,Male,PhD,Chercheur,7.8,65600
48,Female,Master's,Enseignant,24.4,28400
35,Female,Bachelor's,Commercial,10.2,32600
31,Male,Bachelor's,Comptable,7.8,35700
29,Male,CAP/BEP,Data Engineer,11.0,36600
43,Male,Master's,Infirmier,20.0,28200
35,Male,Master's,Trader,8.1,73700
32,Male,PhD,Analyste Financier,4.7,72400
41,Male,Bachelor's,Commercial,10.3,46400
37,Female,Master's,Responsable Commercial,13.4,43000
56,Female,Master's,Data Scientist,16.4,51300
60,Female,Baccalauréat,Logisticien,24.3,26900
47,Male,Bachelor's,Analyste Financier,21.4,84300
45,Female,Master's,Chef de Projet IT,17.0,73700
25,Female,Master's,Responsable RH,1.4,23100
34,Female,Baccalauréat,Chercheur,11.0,23300
35,Male,Bachelor's,Commercial,14.0,34400
36,Male,Bachelor's,Logisticien,9.2,28800
27,Male,Bachelor's,Conducteur de Projet,2.1,29900
55,Male,Bachelor's,Chargé RH,18.7,37200
51,Male,Master's,ML Engineer,28.0,68500
30,Male,Baccalauréat,Chargé RH,10.4,41700
47,Female,PhD,Pharmacien,11.9,45300
31,Male,PhD,Chercheur,2.5,55300
42,Female,PhD,Data Analyst,15.0,43200
31,Female,PhD,Consultant Finance,3.7,47700
35,Female,Master's,Comptable,12.0,29700
26,Male,Master's,ML Engineer,3.0,61900
32,Female,Baccalauréat,Chargé RH,9.8,24300
49,Female,Master's,Responsable RH,19.9,56200
58,Male,Master's,Chargé RH,32.0,67600
50,Male,Baccalauréat,Développeur Software,26.9,51300
34,Male,Master's,Data Analyst,6.9,37200
21,Female,Bachelor's,Chargé RH,0.0,19000
53,Female,Baccalauréat,Data Analyst,35.0,46600
56,Male,Bachelor's,Data Analyst,29.8,46800
38,Male,Bachelor's,Développeur Software,8.3,41100
30,Male,Master's,ML Engineer,5.2,72500
34,Male,Bachelor's,Chargé RH,9.2,29900
25,Male,Bachelor's,Account Manager,2.4,35200
45,Male,Bachelor's,Commercial,17.0,28700
42,Female,PhD,Responsable Marketing,9.7,37400
42,Male,PhD,Chargé RH,9.0,35300
41,Male,Master's,Comptable,14.1,34300
42,Female,Bachelor's,Chargé RH,3.6,22600
50,Male,Baccalauréat,Chargé RH,14.8,18600
37,Female,Master's,Directeur Financier,6.3,52800
48,Female,CAP/BEP,Account Manager,17.5,33500
44,Male,Bachelor's,Comptable,23.0,34500
21,Male,Bachelor's,Assistant Administratif,0.0,17764
43,Male,CAP/BEP,Account Manager,18.7,29300
43,Female,Master's,Consultant Finance,3.4,48700
